U.S. Regional Level,ID Code,U.S. Regional Title,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Metropolitan Statistical Area,141940,"San Jose-Sunnyvale-Santa Clara, CA",5812.0,6377.0,6433.0,6838.0,6885.0,6502.0,8129.0,7191.0,7213.0,7840.0,10074.0,10256.0,11517.0,12899.0,14894.0,14618.0,143473.0
Metropolitan Statistical Area,135620,"New York-Northern New Jersey-Long Island, NY-NJ-PA",5689.0,5638.0,5479.0,5233.0,4717.0,3959.0,4951.0,4285.0,4399.0,4605.0,6383.0,6252.0,6944.0,7886.0,8406.0,7754.0,92577.0
Metropolitan Statistical Area,141860,"San Francisco-Oakland-Fremont, CA",3625.0,3800.0,4030.0,4084.0,4026.0,3726.0,4810.0,4337.0,4298.0,4711.0,6290.0,6468.0,7403.0,8721.0,9920.0,9732.0,89981.0
Metropolitan Statistical Area,131100,"Los Angeles-Long Beach-Santa Ana, CA",3877.0,3995.0,3889.0,4057.0,3959.0,3674.0,4445.0,3696.0,3594.0,3864.0,4992.0,5154.0,5871.0,6271.0,6571.0,6476.0,74381.0
Metropolitan Statistical Area,114460,"Boston-Cambridge-Quincy, MA-NH",2972.0,3133.0,3103.0,3465.0,3195.0,2768.0,3461.0,3027.0,3039.0,3165.0,4330.0,4537.0,4986.0,5610.0,5913.0,5949.0,62653.0
Metropolitan Statistical Area,116980,"Chicago-Joliet-Naperville, IL-IN-WI",3101.0,2981.0,2772.0,2616.0,2562.0,2246.0,2689.0,2314.0,2192.0,2312.0,2933.0,3033.0,3503.0,3766.0,4062.0,3909.0,46991.0
Metropolitan Statistical Area,141740,"San Diego-Carlsbad-San Marcos, CA",1724.0,1906.0,1958.0,2028.0,1994.0,1767.0,2220.0,2043.0,1900.0,1964.0,2993.0,3293.0,4010.0,4805.0,5400.0,5460.0,45465.0
Metropolitan Statistical Area,142660,"Seattle-Tacoma-Bellevue, WA",1141.0,1227.0,1306.0,1419.0,1467.0,1518.0,2290.0,2346.0,2622.0,3378.0,4052.0,3597.0,4094.0,4364.0,4850.0,4739.0,44406.0
Metropolitan Statistical Area,133460,"Minneapolis-St. Paul-Bloomington, MN-WI",2244.0,2220.0,2330.0,2540.0,2285.0,1989.0,2399.0,2099.0,2015.0,2031.0,2827.0,3113.0,3085.0,3445.0,3660.0,3419.0,41696.0
Metropolitan Statistical Area,119820,"Detroit-Warren-Livonia, MI",2120.0,2239.0,2230.0,2255.0,2214.0,2018.0,2298.0,1931.0,1756.0,1757.0,2222.0,2253.0,2671.0,3000.0,3073.0,3305.0,37342.0
Metropolitan Statistical Area,119100,"Dallas-Fort Worth-Arlington, TX",2116.0,2130.0,1926.0,1884.0,1959.0,1685.0,2016.0,1766.0,1669.0,1676.0,2189.0,2215.0,2544.0,2922.0,3177.0,3026.0,34898.0
